epoch,split,loss,loss_cd,loss_occ,loss_delta,loss_partial,loss_repulsion,loss_gate_bce,loss_gate_sparsity,loss_delta_l2,gate_mean,gate_positive_target,loss_candidate_conf,loss_source_entropy,loss_fscore_proxy,hard_weight_mean,coarse_cd_pred_to_gt,coarse_cd_gt_to_pred,coarse_cd,refined_cd_pred_to_gt,refined_cd_gt_to_pred,refined_cd,cd_improvement_pct,coarse_fscore,refined_fscore,fscore_gain,n_samples,lr
1,train,0.06982167120477825,0.041006694633713224,0.0,9.42371469323381e-05,0.013956531930626393,0.0017926975058313009,0.6904005714785256,0.4494232902337279,4.1464415858886115e-06,0.4494232902337279,0.46696944124194417,,,,,,,,,,,,,,,,0.0001998629534754574
1,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.019753839019685984,0.02362660735845566,0.043380446396768094,0.17890930233693494,0.5883465176820755,0.5903152602910996,0.0019687426090241322,800,0.0001998629534754574
2,train,0.06980876277150995,0.04091390670127529,0.0,9.541008758496158e-05,0.01404167683913374,0.001776677976646021,0.6912907259297069,0.47018612925352016,1.4438294268244213e-05,0.47018612925352016,0.482767271064119,,,,,,,,,,,,,,,,0.00019945218953682734
2,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.019920150116086006,0.0232521909289062,0.04317234121263027,0.6577722045412598,0.5883465176820755,0.5935673683881759,0.005220850706100455,800,0.00019945218953682734
3,train,0.06949068560645041,0.04059448356784917,0.0,0.00010332208641275133,0.013732307018174248,0.0016533609475230275,0.6910963558413454,0.4745747288704445,7.784373010990834e-05,0.4745747288704445,0.4860534547673346,,,,,,,,,,,,,,,,0.0001987688340595138
3,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.019893294405192136,0.02303384827449918,0.04292714286595583,1.221988768346143,0.5883465176820755,0.5973269402980804,0.008980422616004957,800,0.0001987688340595138
4,train,0.06922402703740661,0.04036165209623874,0.0,0.00010611681566740943,0.013494915422000719,0.001545317547234091,0.6903357101302987,0.4740810552267394,0.0001013878749303655,0.4740810552267394,0.48457837751529154,,,,,,,,,,,,,,,,0.0001978147600733806
4,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.019936504866927864,0.02275634165853262,0.04269284669309854,1.7611187557831764,0.5883465176820755,0.6009642231464386,0.012617705464363138,800,0.0001978147600733806
5,train,0.06906868292770617,0.04019975237659431,0.0,0.00010807281909885259,0.013359617864099048,0.0014852078503662693,0.6903636124764668,0.4772806320316814,0.00011908223858284561,0.4772806320316814,0.48738888226971977,,,,,,,,,,,,,,,,0.00019659258262890686
5,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.019965675827115774,0.022563708499073982,0.0425293842330575,2.1372559882169058,0.5883465176820755,0.6039471852779389,0.015600667595863427,800,0.00019659258262890686
6,train,0.06883203258819175,0.03996002229886085,0.0,0.00011194335084385315,0.013145377095799002,0.001385337936588831,0.690478655661357,0.47711185010871066,0.0001494186708712894,0.47711185010871066,0.48692566482221666,,,,,,,,,,,,,,,,0.0001951056516295154
6,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.019957608692348004,0.022377190589904786,0.042334799207746986,2.5850081685949995,0.5883465176820755,0.6074460726976395,0.01909955501556404,800,0.0001951056516295154
7,train,0.06871450386328437,0.039838894589715144,0.0,0.00011318046863264498,0.012961456514606978,0.0013595381284966727,0.6904810088106047,0.4801125823957758,0.00016134369258667547,0.4801125823957758,0.489866967641603,,,,,,,,,,,,,,,,0.0001933580426497202
7,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.019929192438721658,0.022326639518141747,0.0422558319196105,2.7667167835577064,0.5883465176820755,0.6087045377492905,0.020358020067214988,800,0.0001933580426497202
8,train,0.06862417407115805,0.039749700390933826,0.0,0.00011359638905106137,0.0128236699223,0.0013304718075580339,0.6904303895248884,0.48171291003761735,0.00016613040477671126,0.48171291003761735,0.4912667439696145,,,,,,,,,,,,,,,,0.00019135454576426012
8,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.019890071526169777,0.02231313180178404,0.04220320332795382,2.887818428593872,0.5883465176820755,0.6101760733127594,0.021829555630683894,800,0.00019135454576426012
9,train,0.06851933275728447,0.039649127205511864,0.0,0.00011384329919499273,0.012698765526294774,0.001296940141805915,0.6903258754297359,0.48273786927112095,0.00017045472769485428,0.48273786927112095,0.492095749872551,,,,,,,,,,,,,,,,0.00018910065241883683
9,val,,,,,,,,,,,,,,,,0.019779855608940123,0.02367834197357297,0.04345819715410471,0.01993020372465253,0.022160122487694025,0.04209032617509365,3.1475557399689826,0.5883465176820755,0.6110622465610505,0.022715728878974994,800,0.00018910065241883683
